paths,client,split,label
COVID-1489.png,site-1,train,1
COVID-125.png,site-1,train,1
COVID-2713.png,site-1,train,1
COVID-3221.png,site-1,train,1
COVID-1698.png,site-1,train,1
COVID-1874.png,site-1,train,1
COVID-1731.png,site-1,train,1
COVID-807.png,site-1,train,1
COVID-2836.png,site-1,train,1
COVID-2879.png,site-1,train,1
COVID-2007.png,site-1,train,1
COVID-2013.png,site-1,train,1
COVID-3377.png,site-1,train,1
COVID-742.png,site-1,train,1
COVID-2317.png,site-1,train,1
COVID-170.png,site-1,train,1
COVID-2743.png,site-1,train,1
COVID-1430.png,site-1,train,1
COVID-536.png,site-1,train,1
COVID-1464.png,site-1,train,1
COVID-876.png,site-1,train,1
COVID-1732.png,site-1,train,1
COVID-3594.png,site-1,train,1
COVID-1010.png,site-1,train,1
COVID-1327.png,site-1,train,1
COVID-927.png,site-1,train,1
COVID-1469.png,site-1,train,1
COVID-2655.png,site-1,train,1
COVID-167.png,site-1,train,1
COVID-69.png,site-1,train,1
COVID-3325.png,site-1,train,1
COVID-694.png,site-1,train,1
COVID-2042.png,site-1,train,1
COVID-147.png,site-1,train,1
COVID-1037.png,site-1,train,1
COVID-2280.png,site-1,train,1
COVID-3429.png,site-1,train,1
COVID-1580.png,site-1,train,1
COVID-1342.png,site-1,train,1
COVID-1283.png,site-1,train,1
COVID-1597.png,site-1,train,1
COVID-3403.png,site-1,train,1
COVID-1729.png,site-1,train,1
COVID-299.png,site-1,train,1
COVID-3587.png,site-1,train,1
COVID-643.png,site-1,train,1
COVID-1722.png,site-1,train,1
COVID-1032.png,site-1,train,1
COVID-1152.png,site-1,train,1
COVID-3168.png,site-1,train,1
COVID-1767.png,site-1,train,1
COVID-2551.png,site-1,train,1
COVID-2418.png,site-1,train,1
COVID-1390.png,site-1,train,1
COVID-3074.png,site-1,train,1
COVID-778.png,site-1,train,1
COVID-2078.png,site-1,train,1
COVID-833.png,site-1,train,1
COVID-1990.png,site-1,train,1
COVID-2270.png,site-1,train,1
COVID-2081.png,site-1,train,1
COVID-1581.png,site-1,train,1
COVID-1051.png,site-1,train,1
COVID-2663.png,site-1,train,1
COVID-430.png,site-1,train,1
COVID-1462.png,site-1,train,1
COVID-1889.png,site-1,train,1
COVID-2303.png,site-1,train,1
COVID-1013.png,site-1,train,1
COVID-2204.png,site-1,train,1
COVID-1155.png,site-1,train,1
COVID-832.png,site-1,train,1
COVID-2281.png,site-1,train,1
COVID-2464.png,site-1,train,1
COVID-2523.png,site-1,train,1
COVID-2107.png,site-1,train,1
COVID-946.png,site-1,train,1
COVID-2090.png,site-1,train,1
COVID-222.png,site-1,train,1
COVID-457.png,site-1,train,1
COVID-2068.png,site-1,train,1
COVID-1871.png,site-1,train,1
COVID-3124.png,site-1,train,1
COVID-2490.png,site-1,train,1
COVID-1608.png,site-1,train,1
